2018-08-21 01:19:16 - warn: test for you 
2018-08-21 05:16:27 - warn: test for you 
2018-08-21 05:16:38 - warn: test for you 
2018-08-21 05:17:40 - warn: test for you 
2018-08-21 05:19:14 - warn: test for you 
2018-08-21 05:27:00 - warn: test for you 
2018-08-21 05:29:05 - info: want to create the project: 
2018-08-21 05:29:07 - info: git clone standard project  
2018-08-21 05:32:12 - info: want to create the project: 
2018-08-21 05:32:14 - info: git clone standard project  
2018-08-21 05:32:55 - info: want to create the project: 
2018-08-21 05:32:57 - info: git clone standard project  
2018-08-21 05:33:33 - info: want to create the project: 
2018-08-21 05:33:49 - info: want to create the project: 
2018-08-21 05:34:08 - info: want to create the project: 
2018-08-21 05:34:09 - info: git clone standard project  
2018-08-21 05:35:11 - info: want to create the project: 
2018-08-21 05:35:21 - info: want to create the project: 
2018-08-21 05:35:22 - info: git clone standard project  
2018-08-21 05:36:56 - info: want to create the project: 
2018-08-21 05:36:58 - info: git clone standard project  
2018-08-21 05:37:49 - info: want to create the project: 
2018-08-21 05:37:57 - info: want to create the project: 
2018-08-21 05:37:58 - info: git clone standard project  
2018-08-21 05:38:27 - info: want to create the project: 
2018-08-21 05:38:28 - info: git clone standard project  
2018-08-21 05:48:27 - info: want to create the project: 
2018-08-21 05:48:29 - info: git clone standard project  
2018-08-21 05:51:00 - info: want to create the project:  test
2018-08-21 05:51:02 - info: git clone standard project  
2018-08-21 06:20:39 - info: want to create the project:  base
2018-08-21 06:20:57 - info: want to create the project:  base
2018-08-21 06:20:58 - info: want to create the project:  base
2018-08-21 06:22:31 - info: want to create the project:  base
2018-08-21 06:26:10 - info: want to create the project:  base
2018-08-21 06:27:06 - info: want to create the project:  base
2018-08-21 06:27:07 - info: want to create the project:  base
2018-08-21 06:27:48 - info: want to create the project:  base
2018-08-21 07:31:51 - info: want to create the project:  base
2018-08-21 07:31:52 - info: git clone standard project  
2018-08-21 07:45:41 - info: want to create the project:  base
2018-08-21 07:45:42 - info: git clone standard project  
2018-08-21 07:47:25 - info: want to create the project:  base
2018-08-21 07:47:58 - info: want to create the project:  base
2018-08-21 07:48:26 - info: want to create the project:  base
2018-08-21 07:49:26 - info: want to create the project:  base
2018-08-21 07:54:33 - info: want to create the project:  base
2018-08-21 07:55:00 - info: want to create the project:  base
2018-08-21 07:55:56 - info: want to create the project:  base
2018-08-21 07:56:22 - info: want to create the project:  base
2018-08-21 07:56:46 - info: want to create the project:  base
2018-08-21 07:57:35 - info: want to create the project:  base
2018-08-21 07:58:11 - info: want to create the project:  base
2018-08-21 08:02:22 - info: want to create the project:  base
2018-08-21 08:03:18 - info: want to create the project:  base
2018-08-21 08:04:27 - info: want to create the project:  base
2018-08-21 08:04:48 - info: want to create the project:  base
2018-08-21 08:05:21 - info: want to create the project:  base
2018-08-21 08:05:57 - info: want to create the project:  base
2018-08-21 08:12:13 - info: want to create the project:  base
2018-08-21 08:13:20 - info: want to create the project:  base
2018-08-21 08:13:20 - info: want to create the project:  base
2018-08-21 08:13:44 - info: want to create the project:  base
2018-08-21 08:14:20 - info: want to create the project:  base
2018-08-21 08:15:52 - info: want to create the project:  base
2018-08-21 08:16:10 - info: want to create the project:  base
2018-08-21 08:16:49 - info: want to create the project:  base
2018-08-21 08:17:01 - info: want to create the project:  base
2018-08-21 08:17:11 - info: want to create the project:  base
2018-08-21 08:17:33 - info: want to create the project:  base
2018-08-21 08:17:45 - info: want to create the project:  base
2018-08-21 08:18:42 - info: want to create the project:  base
2018-08-21 08:18:50 - info: want to create the project:  base
2018-08-21 08:20:06 - info: want to create the project:  base
